"ENSEMBL","SYMBOL","biotype","geneloc"
"ENSG00000136770"," DNAJC1"," protein_coding","chr10:21756548-22003769"
"ENSG00000185168"," LINC00482"," lncRNA","chr17:81303771-81309248"
"ENSG00000163527"," STT3B"," protein_coding","chr3:31532638-31637616"
"ENSG00000197465"," GYPE"," protein_coding","chr4:143870864-143905563"
"ENSG00000170293"," CMTM8"," protein_coding","chr3:32238679-32370321"
"ENSG00000286662",NA,NA,"chr12:127758832-127821183"
"ENSG00000132383"," RPA1"," protein_coding","chr17:1829702-1900082"
"ENSG00000175305"," CCNE2"," protein_coding","chr8:94879770-94896678"
"ENSG00000272799",NA,NA,"chr18:9912316-9912849"
"ENSG00000071794"," HLTF"," protein_coding","chr3:149030127-149086554"
"ENSG00000126562"," WNK4"," protein_coding","chr17:42780610-42797066"
"ENSG00000148634"," HERC4"," protein_coding","chr10:67921899-68075301"
"ENSG00000022267"," FHL1"," protein_coding","chrX:136146702-136211359"
"ENSG00000166949"," SMAD3"," protein_coding","chr15:67063763-67195173"
"ENSG00000204219"," TCEA3"," protein_coding","chr1:23380909-23424748"
"ENSG00000163154"," TNFAIP8L2"," protein_coding","chr1:151156649-151159749"
"ENSG00000197019"," SERTAD1"," protein_coding","chr19:40421589-40425992"
"ENSG00000124145"," SDC4"," protein_coding","chr20:45325288-45348424"
"ENSG00000149179"," C11orf49"," protein_coding","chr11:46936689-47164385"
"ENSG00000273906",NA,NA,"chrY:6918682-6920791"
"ENSG00000246859"," STARD4-AS1"," lncRNA","chr5:111510396-111739726"
"ENSG00000185133"," INPP5J"," protein_coding","chr22:31122731-31134697"
"ENSG00000091513"," TF"," protein_coding","chr3:133746040-133796641"
"ENSG00000263293"," EFCAB13-DT"," lncRNA","chr17:47303460-47323613"
"ENSG00000116017"," ARID3A"," protein_coding","chr19:925781-975939"
"ENSG00000131469"," RPL27"," protein_coding","chr17:42998273-43002959"
"ENSG00000182742"," HOXB4"," protein_coding","chr17:48575507-48578350"
"ENSG00000213420"," GPC2"," protein_coding","chr7:100169606-100177381"
"ENSG00000129255"," MPDU1"," protein_coding","chr17:7583529-7592789"
"ENSG00000141994"," DUS3L"," protein_coding","chr19:5784832-5791225"
"ENSG00000147065"," MSN"," protein_coding","chrX:65588377-65741931"
"ENSG00000134250"," NOTCH2"," protein_coding","chr1:119911553-120100779"
"ENSG00000185271"," KLHL33"," protein_coding","chr14:20425852-20436166"
"ENSG00000188522"," FAM83G"," protein_coding","chr17:18968789-19004764"
"ENSG00000247627"," MTND4P12"," processed_pseudogene","chr5:134926660-134928036"
"ENSG00000162729"," IGSF8"," protein_coding","chr1:160091340-160098943"
"ENSG00000100105"," PATZ1"," protein_coding","chr22:31325804-31346346"
"ENSG00000167291"," TBC1D16"," protein_coding","chr17:79932343-80035872"
"ENSG00000159399"," HK2"," protein_coding","chr2:74834127-74893359"
"ENSG00000101493"," ZNF516"," protein_coding","chr18:76357682-76495242"
"ENSG00000125657"," TNFSF9"," protein_coding","chr19:6531026-6535924"
"ENSG00000197150"," ABCB8"," protein_coding","chr7:151028422-151047782"
"ENSG00000163328"," GPR155"," protein_coding","chr2:174431571-174487094"
"ENSG00000102096"," PIM2"," protein_coding","chrX:48913182-48919024"
"ENSG00000149599"," DUSP15"," protein_coding","chr20:31847637-31870664"
"ENSG00000024422"," EHD2"," protein_coding","chr19:47713422-47743134"
"ENSG00000067082"," KLF6"," protein_coding","chr10:3775996-3785281"
"ENSG00000196092"," PAX5"," protein_coding","chr9:36833269-37034268"
"ENSG00000157833"," GAREM2"," protein_coding","chr2:26173088-26189663"
"ENSG00000091409"," ITGA6"," protein_coding","chr2:172427354-172506459"
"ENSG00000163932"," PRKCD"," protein_coding","chr3:53156009-53192717"
"ENSG00000099940"," SNAP29"," protein_coding","chr22:20859007-20891214"
"ENSG00000105136"," ZNF419"," protein_coding","chr19:57487711-57496098"
"ENSG00000175115"," PACS1"," protein_coding","chr11:66070272-66244744"
"ENSG00000164308"," ERAP2"," protein_coding","chr5:96875986-96919703"
"ENSG00000005469"," CROT"," protein_coding","chr7:87345664-87399794"
"ENSG00000205978"," NYNRIN"," protein_coding","chr14:24399003-24419283"
"ENSG00000046604"," DSG2"," protein_coding","chr18:31498177-31549008"
"ENSG00000160233"," LRRC3"," protein_coding","chr21:44455510-44462196"
"ENSG00000047634"," SCML1"," protein_coding","chrX:17737449-17754988"
"ENSG00000215012"," RTL10"," protein_coding","chr22:19846138-19854896"
"ENSG00000087338"," GMCL1"," protein_coding","chr2:69829660-69881384"
"ENSG00000197587"," DMBX1"," protein_coding","chr1:46489836-46516216"
"ENSG00000118960"," HS1BP3"," protein_coding","chr2:20560448-20651130"
"ENSG00000185973"," TMLHE"," protein_coding","chrX:155489011-155719098"
"ENSG00000170340"," B3GNT2"," protein_coding","chr2:62196115-62224731"
"ENSG00000226981"," ABHD17AP6"," unprocessed_pseudogene","chr17:20814620-20844257"
"ENSG00000165730"," STOX1"," protein_coding","chr10:68827531-68895432"
"ENSG00000116525"," TRIM62"," protein_coding","chr1:33145399-33182059"
"ENSG00000163683"," SMIM14"," protein_coding","chr4:39546336-39638902"
"ENSG00000188486"," H2AX"," protein_coding","chr11:119093854-119095467"
"ENSG00000130956"," HABP4"," protein_coding","chr9:96450169-96491336"
"ENSG00000224982"," TMEM233"," protein_coding","chr12:119593774-119643075"
"ENSG00000070540"," WIPI1"," protein_coding","chr17:68420948-68457513"
"ENSG00000196116"," TDRD7"," protein_coding","chr9:97412096-97496125"
"ENSG00000144354"," CDCA7"," protein_coding","chr2:173354820-173368997"
"ENSG00000171119"," NRTN"," protein_coding","chr19:5805067-5828324"
"ENSG00000114315"," HES1"," protein_coding","chr3:194136148-194138732"
"ENSG00000270882"," H4C14"," protein_coding","chr1:149832659-149839767"
"ENSG00000198960"," ARMCX6"," protein_coding","chrX:101615118-101618001"
"ENSG00000164615"," CAMLG"," protein_coding","chr5:134738495-134752157"
"ENSG00000101938"," CHRDL1"," protein_coding","chrX:110673856-110795819"
"ENSG00000134061"," CD180"," protein_coding","chr5:67179613-67196799"
"ENSG00000100351"," GRAP2"," protein_coding","chr22:39901084-39973721"
"ENSG00000183386"," FHL3"," protein_coding","chr1:37996770-38005606"
"ENSG00000086619"," ERO1B"," protein_coding","chr1:236215101-236281958"
"ENSG00000213694"," S1PR3"," protein_coding","chr9:88990863-89005155"
"ENSG00000114423"," CBLB"," protein_coding","chr3:105655461-105869552"
"ENSG00000119559"," C19orf25"," protein_coding","chr19:1461143-1479219"
"ENSG00000197446"," CYP2F1"," protein_coding","chr19:41114432-41128381"
"ENSG00000114450"," GNB4"," protein_coding","chr3:179396088-179451476"
"ENSG00000113742"," CPEB4"," protein_coding","chr5:173888349-173961980"
"ENSG00000135404"," CD63"," protein_coding","chr12:55725323-55729707"
"ENSG00000250337"," PURPL"," lncRNA","chr5:27217714-27496994"
"ENSG00000151376"," ME3"," protein_coding","chr11:86441108-86672636"
"ENSG00000173193"," PARP14"," protein_coding","chr3:122680839-122730840"
"ENSG00000176978"," DPP7"," protein_coding","chr9:137110546-137115177"
"ENSG00000204394"," VARS1"," protein_coding","chr6:31777518-31795752"
"ENSG00000090013"," BLVRB"," protein_coding","chr19:40447765-40465764"
"ENSG00000270164"," LINC01480"," lncRNA","chr19:41535183-41536904"
"ENSG00000118046"," STK11"," protein_coding","chr19:1177558-1228431"
"ENSG00000249550"," LINC01234"," lncRNA","chr12:113583886-113773726"
"ENSG00000108798"," ABI3"," protein_coding","chr17:49210411-49223225"
"ENSG00000196586"," MYO6"," protein_coding","chr6:75749192-75919537"
"ENSG00000184206"," GOLGA6L4"," protein_coding","chr15:84235773-84245368"
"ENSG00000259692",NA,NA,"chr15:81633426-82013579"
"ENSG00000224429"," LINC00539"," lncRNA","chr13:21302862-21348721"
"ENSG00000170549"," IRX1"," protein_coding","chr5:3595832-3601403"
"ENSG00000135108"," FBXO21"," protein_coding","chr12:117141991-117190471"
"ENSG00000188404"," SELL"," protein_coding","chr1:169690665-169711702"
"ENSG00000213621"," RPSAP54"," processed_pseudogene","chr13:20961310-20962195"
"ENSG00000124374"," PAIP2B"," protein_coding","chr2:71182738-71227103"
"ENSG00000273604"," EPOP"," protein_coding","chr17:38671703-38674957"
"ENSG00000053254"," FOXN3"," protein_coding","chr14:89124871-89619149"
"ENSG00000127990"," SGCE"," protein_coding","chr7:94524204-94656572"
"ENSG00000138376"," BARD1"," protein_coding","chr2:214725646-214809683"
"ENSG00000178104"," PDE4DIP"," protein_coding","chr1:148808181-149048286"
"ENSG00000131475"," VPS25"," protein_coding","chr17:42773449-42779599"
"ENSG00000161513"," FDXR"," protein_coding","chr17:74862497-74873031"
"ENSG00000242299",NA,NA,"chr3:101576489-101576947"
"ENSG00000172819"," RARG"," protein_coding","chr12:53210567-53232980"
"ENSG00000197323"," TRIM33"," protein_coding","chr1:114392790-114511203"
"ENSG00000114126"," TFDP2"," protein_coding","chr3:141944428-142149544"
"ENSG00000158050"," DUSP2"," protein_coding","chr2:96143169-96145440"
"ENSG00000156011"," PSD3"," protein_coding","chr8:18527303-19084730"
"ENSG00000230882",NA,NA,"chr7:76071469-76074963"
"ENSG00000160888"," IER2"," protein_coding","chr19:13150411-13154911"
"ENSG00000071655"," MBD3"," protein_coding","chr19:1573596-1592865"
"ENSG00000164930"," FZD6"," protein_coding","chr8:103298433-103332866"
"ENSG00000133065"," SLC41A1"," protein_coding","chr1:205789094-205813748"
"ENSG00000101082"," SLA2"," protein_coding","chr20:36612318-36646196"
"ENSG00000135919"," SERPINE2"," protein_coding","chr2:223975045-224039318"
"ENSG00000115267"," IFIH1"," protein_coding","chr2:162267074-162318684"
"ENSG00000180806"," HOXC9"," protein_coding","chr12:53994895-54003337"
"ENSG00000076770"," MBNL3"," protein_coding","chrX:132369317-132489968"
"ENSG00000104081"," BMF"," protein_coding","chr15:40087890-40108892"
"ENSG00000106077"," ABHD11"," protein_coding","chr7:73736094-73738852"
"ENSG00000112137"," PHACTR1"," protein_coding","chr6:12716554-13287843"
"ENSG00000280018",NA,NA,"chr21:6986450-6997765"
"ENSG00000003989"," SLC7A2"," protein_coding","chr8:17497088-17570573"
"ENSG00000137193"," PIM1"," protein_coding","chr6:37170152-37175428"
"ENSG00000144815"," NXPE3"," protein_coding","chr3:101779202-101828231"
"ENSG00000010310"," GIPR"," protein_coding","chr19:45668221-45683722"
"ENSG00000269416"," LINC01224"," lncRNA","chr19:23399233-23416075"
"ENSG00000037280"," FLT4"," protein_coding","chr5:180601506-180649624"
"ENSG00000197256"," KANK2"," protein_coding","chr19:11164270-11197791"
"ENSG00000165801"," ARHGEF40"," protein_coding","chr14:21070273-21090248"
"ENSG00000100055"," CYTH4"," protein_coding","chr22:37282027-37315341"
"ENSG00000163520"," FBLN2"," protein_coding","chr3:13549125-13638422"
"ENSG00000172830"," SSH3"," protein_coding","chr11:67303478-67312607"
"ENSG00000134900"," TPP2"," protein_coding","chr13:102596986-102679958"
"ENSG00000171703"," TCEA2"," protein_coding","chr20:64049836-64072347"
"ENSG00000286033",NA,NA,"chr21:8762386-8836565"
"ENSG00000198832"," SELENOM"," protein_coding","chr22:31104772-31120069"
"ENSG00000130348"," QRSL1"," protein_coding","chr6:106629578-106668417"
"ENSG00000074966"," TXK"," protein_coding","chr4:48066393-48134250"
"ENSG00000183770"," FOXL2"," protein_coding","chr3:138944224-138947137"
"ENSG00000179833"," SERTAD2"," protein_coding","chr2:64631621-64751005"
"ENSG00000007264"," MATK"," protein_coding","chr19:3777970-3802129"
"ENSG00000083937"," CHMP2B"," protein_coding","chr3:87227271-87255556"
"ENSG00000174405"," LIG4"," protein_coding","chr13:108207439-108218368"
"ENSG00000187134"," AKR1C1"," protein_coding","chr10:4963253-4983283"
"ENSG00000248923"," MTND5P11"," processed_pseudogene","chr5:134924648-134926459"
"ENSG00000205744"," DENND1C"," protein_coding","chr19:6467207-6482557"
"ENSG00000156299"," TIAM1"," protein_coding","chr21:31118416-31559977"
"ENSG00000215256"," DHRS4-AS1"," lncRNA","chr14:23938219-24052555"
"ENSG00000072818"," ACAP1"," protein_coding","chr17:7336529-7351477"
"ENSG00000170185"," USP38"," protein_coding","chr4:143184917-143223874"
"ENSG00000084207"," GSTP1"," protein_coding","chr11:67583742-67586656"
"ENSG00000101849"," TBL1X"," protein_coding","chrX:9463320-9741037"
"ENSG00000215417"," MIR17HG"," lncRNA","chr13:91347820-91354579"
"ENSG00000165795"," NDRG2"," protein_coding","chr14:21016763-21070872"
"ENSG00000122042"," UBL3"," protein_coding","chr13:29764371-29850617"
"ENSG00000178980"," SELENOW"," protein_coding","chr19:47778585-47784686"
"ENSG00000134698"," AGO4"," protein_coding","chr1:35808016-35857890"
"ENSG00000106733"," NMRK1"," protein_coding","chr9:75060573-75088217"
"ENSG00000263711"," LINC02864"," lncRNA","chr18:73151241-73264480"
"ENSG00000169762"," TAPT1"," protein_coding","chr4:16160505-16227410"
"ENSG00000136490"," LIMD2"," protein_coding","chr17:63695888-63701172"
"ENSG00000104903"," LYL1"," protein_coding","chr19:13099033-13103161"
"ENSG00000071051"," NCK2"," protein_coding","chr2:105744912-105894274"
"ENSG00000188747"," NOXA1"," protein_coding","chr9:137423350-137434406"
"ENSG00000132640"," BTBD3"," protein_coding","chr20:11890723-11926609"
"ENSG00000196705"," ZNF431"," protein_coding","chr19:21142024-21196053"
"ENSG00000147862"," NFIB"," protein_coding","chr9:14081843-14398983"
"ENSG00000124882"," EREG"," protein_coding","chr4:74365145-74388749"
"ENSG00000283235",NA,NA,"chr5:176173345-176199295"
"ENSG00000104327"," CALB1"," protein_coding","chr8:90058608-90095475"
"ENSG00000160072"," ATAD3B"," protein_coding","chr1:1471765-1497848"
"ENSG00000266208",NA,NA,"chr17:40360655-40364693"
"ENSG00000226289"," CDCA4P3"," unprocessed_pseudogene","chr1:207658454-207659142"
"ENSG00000119280"," C1orf198"," protein_coding","chr1:230837119-230869589"
"ENSG00000231419"," LINC00689"," lncRNA","chr7:159006522-159030195"
"ENSG00000151445"," VIPAS39"," protein_coding","chr14:77426675-77457952"
"ENSG00000215045"," GRID2IP"," protein_coding","chr7:6497462-6551436"
"ENSG00000197013"," ZNF429"," protein_coding","chr19:21496682-21556270"
"ENSG00000104218"," CSPP1"," protein_coding","chr8:67062417-67196778"
"ENSG00000140564"," FURIN"," protein_coding","chr15:90868588-90883564"
"ENSG00000165209"," STRBP"," protein_coding","chr9:123109500-123268586"
"ENSG00000196189"," SEMA4A"," protein_coding","chr1:156147366-156177752"
"ENSG00000145476"," CYP4V2"," protein_coding","chr4:186191567-186213463"
"ENSG00000186716"," BCR"," protein_coding","chr22:23179704-23318037"
"ENSG00000124942"," AHNAK"," protein_coding","chr11:62433542-62556235"
"ENSG00000134242"," PTPN22"," protein_coding","chr1:113813811-113871753"
"ENSG00000150054"," MPP7"," protein_coding","chr10:28050993-28334486"
"ENSG00000105699"," LSR"," protein_coding","chr19:35248330-35267964"
"ENSG00000104812"," GYS1"," protein_coding","chr19:48968130-48993310"
"ENSG00000107537"," PHYH"," protein_coding","chr10:13277796-13302412"
"ENSG00000157335"," CLEC18C"," protein_coding","chr16:70173322-70187361"
"ENSG00000152669"," CCNO"," protein_coding","chr5:55231152-55233608"
"ENSG00000196458"," ZNF605"," protein_coding","chr12:132918306-132956306"
"ENSG00000177542"," SLC25A22"," protein_coding","chr11:790475-798281"
"ENSG00000269226"," TMSB15B"," protein_coding","chrX:104063871-104076212"
"ENSG00000268902"," CSAG2"," protein_coding","chrX:152708261-152714549"
"ENSG00000167535"," CACNB3"," protein_coding","chr12:48813794-48828941"
"ENSG00000110811"," P3H3"," protein_coding","chr12:6828407-6839847"
"ENSG00000160191"," PDE9A"," protein_coding","chr21:42653621-42775509"
"ENSG00000228340"," MIR646HG"," lncRNA","chr20:60087826-60653784"
"ENSG00000256229"," ZNF486"," protein_coding","chr19:20167214-20200488"
"ENSG00000125538"," IL1B"," protein_coding","chr2:112829751-112836816"
"ENSG00000270367",NA,NA,"chr3:39285985-39287920"
"ENSG00000185215"," TNFAIP2"," protein_coding","chr14:103121476-103137439"
"ENSG00000178462"," TUBAL3"," protein_coding","chr10:5393101-5404828"
"ENSG00000242960"," FTH1P23"," processed_pseudogene","chr3:72929044-72929593"
"ENSG00000162039"," MEIOB"," protein_coding","chr16:1833986-1884294"
"ENSG00000107551"," RASSF4"," protein_coding","chr10:44959407-44995891"
"ENSG00000167114"," SLC27A4"," protein_coding","chr9:128340527-128361470"
"ENSG00000102572"," STK24"," protein_coding","chr13:98445185-98577940"
"ENSG00000167967"," E4F1"," protein_coding","chr16:2223580-2235742"
"ENSG00000117586"," TNFSF4"," protein_coding","chr1:173183731-173207331"
"ENSG00000251209"," LINC00923"," lncRNA","chr15:97572185-97875650"
"ENSG00000110057"," UNC93B1"," protein_coding","chr11:67991100-68004982"
"ENSG00000144036"," EXOC6B"," protein_coding","chr2:72175984-72826041"
"ENSG00000211684"," IGLJ7"," IG_J_gene","chr22:22921390-22921435"
"ENSG00000133030"," MPRIP"," protein_coding","chr17:17042457-17217679"
"ENSG00000158966"," CACHD1"," protein_coding","chr1:64470129-64693058"
"ENSG00000141424"," SLC39A6"," protein_coding","chr18:36108531-36129385"
"ENSG00000064763"," FAR2"," protein_coding","chr12:29149103-29340980"
"ENSG00000197226"," TBC1D9B"," protein_coding","chr5:179862066-179907897"
"ENSG00000138468"," SENP7"," protein_coding","chr3:101324205-101513241"
"ENSG00000270231"," NBPF8"," transcribed_unprocessed_pseudogene","chr1:120419850-120467739"
"ENSG00000268606"," MAGEA2"," protein_coding","chrX:152749863-152753884"
"ENSG00000140961"," OSGIN1"," protein_coding","chr16:83931311-83966332"
"ENSG00000111275"," ALDH2"," protein_coding","chr12:111766887-111817532"
"ENSG00000198681"," MAGEA1"," protein_coding","chrX:153179284-153183880"
"ENSG00000135916"," ITM2C"," protein_coding","chr2:230864639-230879248"
"ENSG00000101160"," CTSZ"," protein_coding","chr20:58985686-59008238"
"ENSG00000262712",NA,NA,"chr16:4335870-4337818"
"ENSG00000143842"," SOX13"," protein_coding","chr1:204073115-204127743"
"ENSG00000175463"," TBC1D10C"," protein_coding","chr11:67403915-67410089"
"ENSG00000185669"," SNAI3"," protein_coding","chr16:88677688-88686507"
"ENSG00000167895"," TMC8"," protein_coding","chr17:78130770-78142968"
"ENSG00000112320"," SOBP"," protein_coding","chr6:107490106-107661306"
"ENSG00000213995"," NAXD"," protein_coding","chr13:110615545-110639996"
"ENSG00000213190"," MLLT11"," protein_coding","chr1:151060397-151069544"
"ENSG00000139946"," PELI2"," protein_coding","chr14:56117814-56301524"
"ENSG00000228933",NA,NA,"chrX:27174920-27399006"
"ENSG00000263667",NA,NA,"chr6:181466-205519"
"ENSG00000198520"," ARMH1"," protein_coding","chr1:44674692-44725591"
"ENSG00000128016"," ZFP36"," protein_coding","chr19:39406847-39409412"
"ENSG00000178966"," RMI1"," protein_coding","chr9:83980798-84004074"
"ENSG00000105639"," JAK3"," protein_coding","chr19:17824780-17848071"
"ENSG00000127334"," DYRK2"," protein_coding","chr12:67648338-67665406"
"ENSG00000141298"," SSH2"," protein_coding","chr17:29625938-29930276"
"ENSG00000250604",NA,NA,"chr4:158199105-158200442"
"ENSG00000145107"," TM4SF19"," protein_coding","chr3:196319342-196338503"
"ENSG00000159958"," TNFRSF13C"," protein_coding","chr22:41922032-41926806"
"ENSG00000155980"," KIF5A"," protein_coding","chr12:57546026-57586633"
"ENSG00000266830",NA,NA,"chr17:28246454-28248006"
"ENSG00000113269"," RNF130"," protein_coding","chr5:179911651-180072113"
"ENSG00000089127"," OAS1"," protein_coding","chr12:112905856-112933219"
"ENSG00000151929"," BAG3"," protein_coding","chr10:119651380-119677819"
"ENSG00000164970"," FAM219A"," protein_coding","chr9:34398184-34458570"
"ENSG00000117461"," PIK3R3"," protein_coding","chr1:46040140-46133036"
"ENSG00000084764"," MAPRE3"," protein_coding","chr2:26970637-27027219"
"ENSG00000188021"," UBQLN2"," protein_coding","chrX:56563627-56567868"
"ENSG00000134574"," DDB2"," protein_coding","chr11:47214465-47239217"
"ENSG00000141968"," VAV1"," protein_coding","chr19:6772708-6857366"
"ENSG00000170776"," AKAP13"," protein_coding","chr15:85380571-85749358"
"ENSG00000197721"," CR1L"," protein_coding","chr1:207645113-207738416"
"ENSG00000135709"," KIAA0513"," protein_coding","chr16:85027751-85094230"
"ENSG00000164849"," GPR146"," protein_coding","chr7:1044546-1059261"
"ENSG00000258038"," LINC02327"," lncRNA","chr14:28829881-28968400"
"ENSG00000100441"," KHNYN"," protein_coding","chr14:24429286-24441843"
"ENSG00000204397"," CARD16"," transcribed_unprocessed_pseudogene","chr11:105041326-105101431"
"ENSG00000118922"," KLF12"," protein_coding","chr13:73686089-74133929"
"ENSG00000169288"," MRPL1"," protein_coding","chr4:77862830-77952785"
"ENSG00000197872"," CYRIA"," protein_coding","chr2:16549459-16666331"
"ENSG00000125458"," NT5C"," protein_coding","chr17:75130225-75131757"
"ENSG00000254682",NA,NA,"chr11:71448674-71452157"
"ENSG00000205220"," PSMB10"," protein_coding","chr16:67934506-67936864"
"ENSG00000067646"," ZFY"," protein_coding","chrY:2935281-2982506"
"ENSG00000196247"," ZNF107"," protein_coding","chr7:64666099-64711582"
"ENSG00000145911"," N4BP3"," protein_coding","chr5:178113532-178126081"
"ENSG00000147454"," SLC25A37"," protein_coding","chr8:23528956-23575463"
"ENSG00000122545"," SEPTIN7"," protein_coding","chr7:35800932-35907105"
"ENSG00000201382"," RNU6-558P"," snRNA","chr12:116782105-116782208"
"ENSG00000102780"," DGKH"," protein_coding","chr13:42040036-42256578"
"ENSG00000104325"," DECR1"," protein_coding","chr8:90001405-90053633"
"ENSG00000283045",NA,NA,"chr17:44486153-44486815"
"ENSG00000119431"," HDHD3"," protein_coding","chr9:113373419-113376986"
"ENSG00000101335"," MYL9"," protein_coding","chr20:36541497-36551447"
"ENSG00000131019"," ULBP3"," protein_coding","chr6:150061053-150069121"
"ENSG00000023516"," AKAP11"," protein_coding","chr13:42272152-42323261"
"ENSG00000165138"," ANKS6"," protein_coding","chr9:98731329-98796965"
"ENSG00000132563"," REEP2"," protein_coding","chr5:138439057-138446969"
"ENSG00000204634"," TBC1D8"," protein_coding","chr2:101007228-101252866"
"ENSG00000065413"," ANKRD44"," protein_coding","chr2:196967017-197311173"
"ENSG00000164976"," MYORG"," protein_coding","chr9:34366666-34376898"
"ENSG00000146858"," ZC3HAV1L"," protein_coding","chr7:139025706-139036042"
"ENSG00000275183"," LENG9"," protein_coding","chr19:54461732-54463778"
"ENSG00000115756"," HPCAL1"," protein_coding","chr2:10302889-10427617"
"ENSG00000004700"," RECQL"," protein_coding","chr12:21468910-21501669"
"ENSG00000115307"," AUP1"," protein_coding","chr2:74526645-74529760"
"ENSG00000100629"," CEP128"," protein_coding","chr14:80476983-80959517"
"ENSG00000104907"," TRMT1"," protein_coding","chr19:13104902-13117567"
"ENSG00000138660"," AP1AR"," protein_coding","chr4:112231740-112273110"
"ENSG00000213199"," ASIC3"," protein_coding","chr7:151048292-151052756"
"ENSG00000213453"," FTH1P3"," processed_pseudogene","chr2:27392784-27393367"
"ENSG00000257704"," INAFM1"," protein_coding","chr19:47274885-47275723"
"ENSG00000005059"," MCUB"," protein_coding","chr4:109560209-109688719"
"ENSG00000157322"," CLEC18A"," protein_coding","chr16:69950705-69964452"
"ENSG00000108669"," CYTH1"," protein_coding","chr17:78674048-78782297"
"ENSG00000171453"," POLR1C"," protein_coding","chr6:43509702-43562419"
"ENSG00000136869"," TLR4"," protein_coding","chr9:117704175-117724735"
"ENSG00000091490"," SEL1L3"," protein_coding","chr4:25747433-25863760"
"ENSG00000108175"," ZMIZ1"," protein_coding","chr10:79068966-79316519"
"ENSG00000130202"," NECTIN2"," protein_coding","chr19:44846175-44889223"
"ENSG00000177485"," ZBTB33"," protein_coding","chrX:120250752-120258398"
"ENSG00000157350"," ST3GAL2"," protein_coding","chr16:70375977-70439237"
"ENSG00000171121"," KCNMB3"," protein_coding","chr3:179236691-179267002"
"ENSG00000171603"," CLSTN1"," protein_coding","chr1:9728926-9823984"
"ENSG00000221867"," MAGEA3"," protein_coding","chrX:152698767-152702347"
"ENSG00000163485"," ADORA1"," protein_coding","chr1:203090654-203167405"
"ENSG00000136114"," THSD1"," protein_coding","chr13:52377167-52416373"
"ENSG00000122574"," WIPF3"," protein_coding","chr7:29806486-29917066"
"ENSG00000147955"," SIGMAR1"," protein_coding","chr9:34634722-34637844"
"ENSG00000100697"," DICER1"," protein_coding","chr14:95086228-95158010"
"ENSG00000181404"," WASHC1"," protein_coding","chr9:14475-73865"
"ENSG00000274422",NA,NA,"chr22:22283928-22287220"
"ENSG00000139433"," GLTP"," protein_coding","chr12:109850945-109880541"
"ENSG00000073150"," PANX2"," protein_coding","chr22:50170731-50180295"
"ENSG00000203879"," GDI1"," protein_coding","chrX:154436913-154443467"
"ENSG00000167461"," RAB8A"," protein_coding","chr19:16111889-16134234"
"ENSG00000181240"," SLC25A41"," protein_coding","chr19:6426037-6433779"
"ENSG00000175344"," CHRNA7"," protein_coding","chr15:31923438-32173018"
"ENSG00000253877"," LINC01608"," lncRNA","chr8:110899996-111040372"
"ENSG00000237506"," RPSAP15"," processed_pseudogene","chrX:87703343-87704203"
"ENSG00000261236"," BOP1"," protein_coding","chr8:144262045-144291438"
"ENSG00000168067"," MAP4K2"," protein_coding","chr11:64784918-64803241"
"ENSG00000037897"," METTL1"," protein_coding","chr12:57768471-57772119"
"ENSG00000180861"," LINC01559"," lncRNA","chr12:13371089-13387167"
"ENSG00000127540"," UQCR11"," protein_coding","chr19:1597169-1605473"
"ENSG00000108039"," XPNPEP1"," protein_coding","chr10:109864766-109923553"
"ENSG00000266213",NA,NA,"chr18:78137223-78140887"
"ENSG00000272086"," GOLPH3-DT"," lncRNA","chr5:32174471-32175272"
"ENSG00000228086",NA,NA,"chr1:100462399-100485997"
"ENSG00000198833"," UBE2J1"," protein_coding","chr6:89326625-89352722"
"ENSG00000152127"," MGAT5"," protein_coding","chr2:134119983-134454621"
"ENSG00000125611"," CHCHD5"," protein_coding","chr2:112584240-112589275"
"ENSG00000196793"," ZNF239"," protein_coding","chr10:43556344-43574618"
"ENSG00000152503"," TRIM36"," protein_coding","chr5:115124762-115180546"
"ENSG00000096996"," IL12RB1"," protein_coding","chr19:18058995-18098944"
"ENSG00000145246"," ATP10D"," protein_coding","chr4:47485275-47593486"
"ENSG00000214535"," RPS15AP1"," processed_pseudogene","chr20:21166206-21166596"
"ENSG00000008513"," ST3GAL1"," protein_coding","chr8:133454848-133571940"
"ENSG00000151779"," NBAS"," protein_coding","chr2:15166914-15561334"
"ENSG00000137942"," FNBP1L"," protein_coding","chr1:93448118-93554661"
"ENSG00000264269",NA,NA,"chr18:49023703-49048474"
"ENSG00000111328"," CDK2AP1"," protein_coding","chr12:123250112-123272334"
"ENSG00000141524"," TMC6"," protein_coding","chr17:78107397-78132407"
"ENSG00000182287"," AP1S2"," protein_coding","chrX:15825806-15854931"
"ENSG00000111540"," RAB5B"," protein_coding","chr12:55973913-55996683"
"ENSG00000163013"," FBXO41"," protein_coding","chr2:73254682-73284478"
"ENSG00000068903"," SIRT2"," protein_coding","chr19:38878555-38899862"
"ENSG00000135678"," CPM"," protein_coding","chr12:68842197-68971570"
"ENSG00000135540"," NHSL1"," protein_coding","chr6:138422043-138692571"
"ENSG00000131188"," PRR7"," protein_coding","chr5:177446445-177456286"
"ENSG00000257913"," DDN-AS1"," lncRNA","chr12:48998367-49019235"
"ENSG00000178217"," SH2D4B"," protein_coding","chr10:80537902-80646560"
"ENSG00000029725"," RABEP1"," protein_coding","chr17:5282265-5386340"
